loan_id,gender,married,dependents,education,self_employed,applicantincome,coapplicantincome,loanamount,loan_amount_term,property_area,credit_score,loan_status
LP001384,Male,Yes,3+,Not Graduate,No,2071,754.0,94.0,480.0,Semiurban,835,Y
LP001385,Male,No,0,Graduate,No,5316,0.0,136.0,360.0,Urban,735,Y
LP001387,Female,Yes,0,Graduate,,2929,2333.0,139.0,360.0,Semiurban,815,Y
LP001391,Male,Yes,0,Not Graduate,No,3572,4114.0,152.0,,Rural,362,N
LP001392,Female,No,1,Graduate,Yes,7451,0.0,,360.0,Semiurban,738,Y
LP001398,Male,No,0,Graduate,,5050,0.0,118.0,360.0,Semiurban,842,Y
LP001401,Male,Yes,1,Graduate,No,14583,0.0,185.0,180.0,Rural,680,Y
LP001404,Female,Yes,0,Graduate,No,3167,2283.0,154.0,360.0,Semiurban,735,Y
LP001405,Male,Yes,1,Graduate,No,2214,1398.0,85.0,360.0,Urban,762,Y
LP001421,Male,Yes,0,Graduate,No,5568,2142.0,175.0,360.0,Rural,588,N
LP001422,Female,No,0,Graduate,No,10408,0.0,259.0,360.0,Urban,722,Y
LP001426,Male,Yes,,Graduate,No,5667,2667.0,180.0,360.0,Rural,604,Y
LP001430,Female,No,0,Graduate,No,4166,0.0,44.0,360.0,Semiurban,833,Y
LP001431,Female,No,0,Graduate,No,2137,8980.0,137.0,360.0,Semiurban,830,Y
LP001432,Male,Yes,2,Graduate,No,2957,0.0,81.0,360.0,Semiurban,849,Y
LP001439,Male,Yes,0,Not Graduate,No,4300,2014.0,194.0,360.0,Rural,640,Y
LP001443,Female,No,0,Graduate,No,3692,0.0,93.0,360.0,Rural,627,Y
LP001448,,Yes,3+,Graduate,No,23803,0.0,370.0,360.0,Rural,734,Y
LP001449,Male,No,0,Graduate,No,3865,1640.0,,360.0,Rural,800,Y
LP001451,Male,Yes,1,Graduate,Yes,10513,3850.0,160.0,180.0,Urban,567,N
LP001465,Male,Yes,0,Graduate,No,6080,2569.0,182.0,360.0,Rural,332,N
LP001469,Male,No,0,Graduate,Yes,20166,0.0,650.0,480.0,Urban,647,Y
LP001473,Male,No,0,Graduate,No,2014,1929.0,74.0,360.0,Urban,846,Y
LP001478,Male,No,0,Graduate,No,2718,0.0,70.0,360.0,Semiurban,750,Y
LP001482,Male,Yes,0,Graduate,Yes,3459,0.0,25.0,120.0,Semiurban,661,Y
LP001487,Male,No,0,Graduate,No,4895,0.0,102.0,360.0,Semiurban,815,Y
LP001488,Male,Yes,3+,Graduate,No,4000,7750.0,290.0,360.0,Semiurban,592,N
LP001489,Female,Yes,0,Graduate,No,4583,0.0,84.0,360.0,Rural,398,N
LP001491,Male,Yes,2,Graduate,Yes,3316,3500.0,88.0,360.0,Urban,771,Y
LP001492,Male,No,0,Graduate,No,14999,0.0,242.0,360.0,Semiurban,513,N
LP001493,Male,Yes,2,Not Graduate,No,4200,1430.0,129.0,360.0,Rural,334,N
LP001497,Male,Yes,2,Graduate,No,5042,2083.0,185.0,360.0,Rural,526,N
LP001498,Male,No,0,Graduate,No,5417,0.0,168.0,360.0,Urban,700,Y
LP001504,Male,No,0,Graduate,Yes,6950,0.0,175.0,180.0,Semiurban,774,Y
LP001507,Male,Yes,0,Graduate,No,2698,2034.0,122.0,360.0,Semiurban,805,Y
LP001508,Male,Yes,2,Graduate,No,11757,0.0,187.0,180.0,Urban,730,Y
LP001514,Female,Yes,0,Graduate,No,2330,4486.0,100.0,360.0,Semiurban,600,Y
LP001516,Female,Yes,2,Graduate,No,14866,0.0,70.0,360.0,Urban,604,Y
LP001518,Male,Yes,1,Graduate,No,1538,1425.0,30.0,360.0,Urban,817,Y
LP001519,Female,No,0,Graduate,No,10000,1666.0,225.0,360.0,Rural,554,N
LP001520,Male,Yes,0,Graduate,No,4860,830.0,125.0,360.0,Semiurban,741,Y
LP001528,Male,No,0,Graduate,No,6277,0.0,118.0,360.0,Rural,582,N
LP001529,Male,Yes,0,Graduate,Yes,2577,3750.0,152.0,360.0,Rural,736,Y
LP001531,Male,No,0,Graduate,No,9166,0.0,244.0,360.0,Urban,506,N
LP001532,Male,Yes,2,Not Graduate,No,2281,0.0,113.0,360.0,Rural,314,N
LP001535,Male,No,0,Graduate,No,3254,0.0,50.0,360.0,Urban,689,Y
LP001536,Male,Yes,3+,Graduate,No,39999,0.0,600.0,180.0,Semiurban,641,Y
LP001541,Male,Yes,1,Graduate,No,6000,0.0,160.0,360.0,Rural,723,Y
LP001543,Male,Yes,1,Graduate,No,9538,0.0,187.0,360.0,Urban,804,Y
LP001546,Male,No,0,Graduate,,2980,2083.0,120.0,360.0,Rural,778,Y
LP001552,Male,Yes,0,Graduate,No,4583,5625.0,255.0,360.0,Semiurban,662,Y
LP001560,Male,Yes,0,Not Graduate,No,1863,1041.0,98.0,360.0,Semiurban,695,Y
LP001562,Male,Yes,0,Graduate,No,7933,0.0,275.0,360.0,Urban,530,N
LP001565,Male,Yes,1,Graduate,No,3089,1280.0,121.0,360.0,Semiurban,540,N
LP001570,Male,Yes,2,Graduate,No,4167,1447.0,158.0,360.0,Rural,651,Y
LP001572,Male,Yes,0,Graduate,No,9323,0.0,75.0,180.0,Urban,695,Y
LP001574,Male,Yes,0,Graduate,No,3707,3166.0,182.0,,Rural,731,Y
LP001577,Female,Yes,0,Graduate,No,4583,0.0,112.0,360.0,Rural,521,N
LP001578,Male,Yes,0,Graduate,No,2439,3333.0,129.0,360.0,Rural,828,Y
LP001579,Male,No,0,Graduate,No,2237,0.0,63.0,480.0,Semiurban,530,N
LP001580,Male,Yes,2,Graduate,No,8000,0.0,200.0,360.0,Semiurban,836,Y
LP001581,Male,Yes,0,Not Graduate,,1820,1769.0,95.0,360.0,Rural,742,Y
LP001585,,Yes,3+,Graduate,No,51763,0.0,700.0,300.0,Urban,770,Y
LP001586,Male,Yes,3+,Not Graduate,No,3522,0.0,81.0,180.0,Rural,328,N
LP001594,Male,Yes,0,Graduate,No,5708,5625.0,187.0,360.0,Semiurban,635,Y
LP001603,Male,Yes,0,Not Graduate,Yes,4344,736.0,87.0,360.0,Semiurban,312,N
LP001606,Male,Yes,0,Graduate,No,3497,1964.0,116.0,360.0,Rural,759,Y
LP001608,Male,Yes,2,Graduate,No,2045,1619.0,101.0,360.0,Rural,670,Y
LP001610,Male,Yes,3+,Graduate,No,5516,11300.0,495.0,360.0,Semiurban,486,N
LP001616,Male,Yes,1,Graduate,No,3750,0.0,116.0,360.0,Semiurban,842,Y
LP001630,Male,No,0,Not Graduate,No,2333,1451.0,102.0,480.0,Urban,385,N
LP001633,Male,Yes,1,Graduate,No,6400,7250.0,180.0,360.0,Urban,583,N
LP001634,Male,No,0,Graduate,No,1916,5063.0,67.0,360.0,Rural,365,N
LP001636,Male,Yes,0,Graduate,No,4600,0.0,73.0,180.0,Semiurban,769,Y
LP001637,Male,Yes,1,Graduate,No,33846,0.0,260.0,360.0,Semiurban,344,N
LP001639,Female,Yes,0,Graduate,No,3625,0.0,108.0,360.0,Semiurban,661,Y
LP001640,Male,Yes,0,Graduate,Yes,39147,4750.0,120.0,360.0,Semiurban,784,Y
LP001641,Male,Yes,1,Graduate,Yes,2178,0.0,66.0,300.0,Rural,433,N
LP001643,Male,Yes,0,Graduate,No,2383,2138.0,58.0,360.0,Rural,627,Y
LP001644,,Yes,0,Graduate,Yes,674,5296.0,168.0,360.0,Rural,627,Y
LP001647,Male,Yes,0,Graduate,No,9328,0.0,188.0,180.0,Rural,707,Y
LP001653,Male,No,0,Not Graduate,No,4885,0.0,48.0,360.0,Rural,643,Y
LP001656,Male,No,0,Graduate,No,12000,0.0,164.0,360.0,Semiurban,585,N
LP001657,Male,Yes,0,Not Graduate,No,6033,0.0,160.0,360.0,Urban,427,N
LP001658,Male,No,0,Graduate,No,3858,0.0,76.0,360.0,Semiurban,849,Y
LP001664,Male,No,0,Graduate,No,4191,0.0,120.0,360.0,Rural,846,Y
LP001665,Male,Yes,1,Graduate,No,3125,2583.0,170.0,360.0,Semiurban,530,N
LP001666,Male,No,0,Graduate,No,8333,3750.0,187.0,360.0,Rural,789,Y
LP001669,Female,No,0,Not Graduate,No,1907,2365.0,120.0,,Urban,824,Y
LP001671,Female,Yes,0,Graduate,No,3416,2816.0,113.0,360.0,Semiurban,728,Y
LP001673,Male,No,0,Graduate,Yes,11000,0.0,83.0,360.0,Urban,582,N
LP001674,Male,Yes,1,Not Graduate,No,2600,2500.0,90.0,360.0,Semiurban,789,Y
LP001677,Male,No,2,Graduate,No,4923,0.0,166.0,360.0,Semiurban,720,Y
LP001682,Male,Yes,3+,Not Graduate,No,3992,0.0,,180.0,Urban,415,N
LP001688,Male,Yes,1,Not Graduate,No,3500,1083.0,135.0,360.0,Urban,804,Y
LP001691,Male,Yes,2,Not Graduate,No,3917,0.0,124.0,360.0,Semiurban,832,Y
LP001692,Female,No,0,Not Graduate,No,4408,0.0,120.0,360.0,Semiurban,602,Y
LP001693,Female,No,0,Graduate,No,3244,0.0,80.0,360.0,Urban,702,Y
LP001698,Male,No,0,Not Graduate,No,3975,2531.0,55.0,360.0,Rural,797,Y
LP001699,Male,No,0,Graduate,No,2479,0.0,59.0,360.0,Urban,799,Y
LP001702,Male,No,0,Graduate,No,3418,0.0,127.0,360.0,Semiurban,436,N
LP001708,Female,No,0,Graduate,No,10000,0.0,214.0,360.0,Semiurban,464,N
LP001711,Male,Yes,3+,Graduate,No,3430,1250.0,128.0,360.0,Semiurban,524,N
LP001713,Male,Yes,1,Graduate,Yes,7787,0.0,240.0,360.0,Urban,650,Y
LP001715,Male,Yes,3+,Not Graduate,Yes,5703,0.0,130.0,360.0,Rural,833,Y
LP001716,Male,Yes,0,Graduate,No,3173,3021.0,137.0,360.0,Urban,771,Y
LP001720,Male,Yes,3+,Not Graduate,No,3850,983.0,100.0,360.0,Semiurban,751,Y
LP001722,Male,Yes,0,Graduate,No,150,1800.0,135.0,360.0,Rural,459,N
LP001726,Male,Yes,0,Graduate,No,3727,1775.0,131.0,360.0,Semiurban,695,Y
LP001732,Male,Yes,2,Graduate,,5000,0.0,72.0,360.0,Semiurban,532,N
LP001734,Female,Yes,2,Graduate,No,4283,2383.0,127.0,360.0,Semiurban,779,Y
LP001736,Male,Yes,0,Graduate,No,2221,0.0,60.0,360.0,Urban,412,N
LP001743,Male,Yes,2,Graduate,No,4009,1717.0,116.0,360.0,Semiurban,661,Y
LP001744,Male,No,0,Graduate,No,2971,2791.0,144.0,360.0,Semiurban,840,Y
LP001749,Male,Yes,0,Graduate,No,7578,1010.0,175.0,,Semiurban,785,Y
LP001750,Male,Yes,0,Graduate,No,6250,0.0,128.0,360.0,Semiurban,651,Y
LP001751,Male,Yes,0,Graduate,No,3250,0.0,170.0,360.0,Rural,567,N
LP001754,Male,Yes,,Not Graduate,Yes,4735,0.0,138.0,360.0,Urban,594,N
LP001758,Male,Yes,2,Graduate,No,6250,1695.0,210.0,360.0,Semiurban,729,Y
LP001760,Male,,,Graduate,No,4758,0.0,158.0,480.0,Semiurban,730,Y
LP001761,Male,No,0,Graduate,Yes,6400,0.0,200.0,360.0,Rural,712,Y
LP001765,Male,Yes,1,Graduate,No,2491,2054.0,104.0,360.0,Semiurban,700,Y
LP001768,Male,Yes,0,Graduate,,3716,0.0,42.0,180.0,Rural,712,Y
LP001770,Male,No,0,Not Graduate,No,3189,2598.0,120.0,,Rural,783,Y
LP001776,Female,No,0,Graduate,No,8333,0.0,280.0,360.0,Semiurban,680,Y
LP001778,Male,Yes,1,Graduate,No,3155,1779.0,140.0,360.0,Semiurban,786,Y
LP001784,Male,Yes,1,Graduate,No,5500,1260.0,170.0,360.0,Rural,712,Y
LP001786,Male,Yes,0,Graduate,,5746,0.0,255.0,360.0,Urban,301,N
LP001788,Female,No,0,Graduate,Yes,3463,0.0,122.0,360.0,Urban,729,Y
LP001790,Female,No,1,Graduate,No,3812,0.0,112.0,360.0,Rural,819,Y
LP001792,Male,Yes,1,Graduate,No,3315,0.0,96.0,360.0,Semiurban,653,Y
LP001798,Male,Yes,2,Graduate,No,5819,5000.0,120.0,360.0,Rural,686,Y
LP001800,Male,Yes,1,Not Graduate,No,2510,1983.0,140.0,180.0,Urban,523,N
LP001806,Male,No,0,Graduate,No,2965,5701.0,155.0,60.0,Urban,824,Y
LP001807,Male,Yes,2,Graduate,Yes,6250,1300.0,108.0,360.0,Rural,728,Y
LP001811,Male,Yes,0,Not Graduate,No,3406,4417.0,123.0,360.0,Semiurban,746,Y
LP001813,Male,No,0,Graduate,Yes,6050,4333.0,120.0,180.0,Urban,425,N
LP001814,Male,Yes,2,Graduate,No,9703,0.0,112.0,360.0,Urban,729,Y
LP001819,Male,Yes,1,Not Graduate,No,6608,0.0,137.0,180.0,Urban,652,Y
LP001824,Male,Yes,1,Graduate,No,2882,1843.0,123.0,480.0,Semiurban,771,Y
LP001825,Male,Yes,0,Graduate,No,1809,1868.0,90.0,360.0,Urban,817,Y
LP001835,Male,Yes,0,Not Graduate,No,1668,3890.0,201.0,360.0,Semiurban,459,N
LP001836,Female,No,2,Graduate,No,3427,0.0,138.0,360.0,Urban,497,N
LP001841,Male,No,0,Not Graduate,Yes,2583,2167.0,104.0,360.0,Rural,759,Y
LP001843,Male,Yes,1,Not Graduate,No,2661,7101.0,279.0,180.0,Semiurban,846,Y
LP001844,Male,No,0,Graduate,Yes,16250,0.0,192.0,360.0,Urban,502,N
LP001846,Female,No,3+,Graduate,No,3083,0.0,255.0,360.0,Rural,783,Y
LP001849,Male,No,0,Not Graduate,No,6045,0.0,115.0,360.0,Rural,422,N
LP001854,Male,Yes,3+,Graduate,No,5250,0.0,94.0,360.0,Urban,554,N
LP001859,Male,Yes,0,Graduate,No,14683,2100.0,304.0,360.0,Rural,593,N
LP001864,Male,Yes,3+,Not Graduate,No,4931,0.0,128.0,360.0,Semiurban,579,N
LP001865,Male,Yes,1,Graduate,No,6083,4250.0,330.0,360.0,Urban,668,Y
LP001868,Male,No,0,Graduate,No,2060,2209.0,134.0,360.0,Semiurban,715,Y
LP001870,Female,No,1,Graduate,No,3481,0.0,155.0,36.0,Semiurban,397,N
LP001871,Female,No,0,Graduate,No,7200,0.0,120.0,360.0,Rural,797,Y
LP001872,Male,No,0,Graduate,Yes,5166,0.0,128.0,360.0,Semiurban,813,Y
LP001875,Male,No,0,Graduate,No,4095,3447.0,151.0,360.0,Rural,738,Y
LP001877,Male,Yes,2,Graduate,No,4708,1387.0,150.0,360.0,Semiurban,839,Y
LP001882,Male,Yes,3+,Graduate,No,4333,1811.0,160.0,360.0,Urban,743,Y
LP001883,Female,No,0,Graduate,,3418,0.0,135.0,360.0,Rural,396,N
LP001884,Female,No,1,Graduate,No,2876,1560.0,90.0,360.0,Urban,800,Y
LP001888,Female,No,0,Graduate,No,3237,0.0,30.0,360.0,Urban,723,Y
LP001891,Male,Yes,0,Graduate,No,11146,0.0,136.0,360.0,Urban,786,Y
LP001892,Male,No,0,Graduate,No,2833,1857.0,126.0,360.0,Rural,669,Y
LP001894,Male,Yes,0,Graduate,No,2620,2223.0,150.0,360.0,Semiurban,807,Y
LP001896,Male,Yes,2,Graduate,No,3900,0.0,90.0,360.0,Semiurban,692,Y
LP001900,Male,Yes,1,Graduate,No,2750,1842.0,115.0,360.0,Semiurban,602,Y
LP001903,Male,Yes,0,Graduate,No,3993,3274.0,207.0,360.0,Semiurban,747,Y
LP001904,Male,Yes,0,Graduate,No,3103,1300.0,80.0,360.0,Urban,786,Y
LP001907,Male,Yes,0,Graduate,No,14583,0.0,436.0,360.0,Semiurban,763,Y
LP001908,Female,Yes,0,Not Graduate,No,4100,0.0,124.0,360.0,Rural,746,Y
LP001910,Male,No,1,Not Graduate,Yes,4053,2426.0,158.0,360.0,Urban,446,N
LP001914,Male,Yes,0,Graduate,No,3927,800.0,112.0,360.0,Semiurban,747,Y
LP001915,Male,Yes,2,Graduate,No,2301,985.7999878,78.0,180.0,Urban,695,Y
LP001917,Female,No,0,Graduate,No,1811,1666.0,54.0,360.0,Urban,798,Y
LP001922,Male,Yes,0,Graduate,No,20667,0.0,,360.0,Rural,427,N
LP001924,Male,No,0,Graduate,No,3158,3053.0,89.0,360.0,Rural,638,Y
LP001925,Female,No,0,Graduate,Yes,2600,1717.0,99.0,300.0,Semiurban,428,N
LP001926,Male,Yes,0,Graduate,No,3704,2000.0,120.0,360.0,Rural,610,Y
LP001931,Female,No,0,Graduate,No,4124,0.0,115.0,360.0,Semiurban,819,Y
LP001935,Male,No,0,Graduate,No,9508,0.0,187.0,360.0,Rural,784,Y
LP001936,Male,Yes,0,Graduate,No,3075,2416.0,139.0,360.0,Rural,816,Y
LP001938,Male,Yes,2,Graduate,No,4400,0.0,127.0,360.0,Semiurban,450,N
LP001940,Male,Yes,2,Graduate,No,3153,1560.0,134.0,360.0,Urban,758,Y
LP001945,Female,No,,Graduate,No,5417,0.0,143.0,480.0,Urban,597,N
LP001947,Male,Yes,0,Graduate,No,2383,3334.0,172.0,360.0,Semiurban,698,Y
LP001949,Male,Yes,3+,Graduate,,4416,1250.0,110.0,360.0,Urban,606,Y
LP001953,Male,Yes,1,Graduate,No,6875,0.0,200.0,360.0,Semiurban,743,Y
LP001954,Female,Yes,1,Graduate,No,4666,0.0,135.0,360.0,Urban,689,Y
LP001955,Female,No,0,Graduate,No,5000,2541.0,151.0,480.0,Rural,411,N
LP001963,Male,Yes,1,Graduate,No,2014,2925.0,113.0,360.0,Urban,359,N
LP001964,Male,Yes,0,Not Graduate,No,1800,2934.0,93.0,360.0,Urban,301,N
LP001972,Male,Yes,,Not Graduate,No,2875,1750.0,105.0,360.0,Semiurban,728,Y
LP001974,Female,No,0,Graduate,No,5000,0.0,132.0,360.0,Rural,647,Y
